brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti,10,83000,Individual,Petrol,Manual,17.5,1298,85.8,5,297340.44
Maruti,6,50000,Individual,Petrol,Manual,22.74,796,47.3,5,241327.23
Hyundai,11,65000,Dealer,Petrol,Manual,17.92,1086,62.1,5,206296.16
Maruti,3,15978,Dealer,Petrol,Manual,23.1,998,67.04,5,454408.22
Hyundai,4,60369,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1153081.9
Mahindra,1,30000,Individual,Diesel,Manual,16.5,1493,70.0,7,816155.1
Renault,4,19000,Dealer,Petrol,Automatic,24.04,999,67.0,5,397946.88
Hyundai,5,10000,Individual,Petrol,Manual,15.29,1591,121.3,5,941369.1
Hyundai,12,52473,Dealer,Petrol,Manual,20.36,1197,78.9,5,241162.97
Toyota,7,77000,Dealer,Diesel,Manual,12.55,2982,168.5,7,1617425.1
Maruti,5,37000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,693612.94
Maruti,8,158000,Individual,Diesel,Manual,22.9,1248,74.0,5,374712.38
Maruti,4,19000,Dealer,Diesel,Manual,24.52,1248,88.5,7,880607.8
Maruti,4,58832,Dealer,Diesel,Manual,25.2,1248,74.0,5,641074.2
Hyundai,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,658349.25
Honda,5,41200,Dealer,Petrol,Manual,18.6,1199,88.76,5,488342.3
Ford,2,17000,Dealer,Petrol,Manual,15.9,1496,120.69,5,956172.56
Mercedes-Benz,3,25000,Dealer,Diesel,Automatic,10.0,2148,170.0,5,4346284.0
Hyundai,2,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,552706.25
Maruti,2,8000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,725548.94
Maruti,6,74000,Dealer,Diesel,Manual,23.4,1248,74.0,5,524569.4
Renault,5,50000,Individual,Petrol,Manual,25.17,799,53.3,5,266551.4
Honda,8,29500,Dealer,Diesel,Manual,25.8,1498,98.6,5,409639.66
Maruti,9,80000,Individual,Petrol,Manual,19.1,1197,85.8,5,356135.6
Maruti,8,60000,Individual,Petrol,Manual,20.51,998,67.04,5,266171.66
Hyundai,5,28854,Dealer,Petrol,Manual,18.9,1197,82.0,5,473661.66
Hyundai,5,81984,Dealer,Diesel,Manual,23.0,1396,90.0,5,631200.9
Hyundai,12,8500,Dealer,Petrol,Automatic,19.2,1197,80.0,5,318152.44
Mahindra,2,23000,Individual,Diesel,Manual,16.55,2498,105.0,6,951901.75
Maruti,5,44160,Dealer,Diesel,Manual,24.52,1248,88.5,7,758591.4
Toyota,4,60100,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1721705.8
Maruti,3,35000,Dealer,Petrol,Manual,21.21,1197,81.8,5,611997.3
Volkswagen,6,26000,Dealer,Petrol,Automatic,16.93,1197,103.2,5,617122.7
Skoda,4,37000,Dealer,Petrol,Automatic,14.67,1798,177.46,5,1884559.9
Maruti,6,69000,Dealer,CNG,Manual,33.54,998,67.04,5,363801.38
Mahindra,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,400725.1
Skoda,11,72000,Dealer,Petrol,Automatic,9.3,2771,193.1,5,404108.06
Hyundai,4,50740,Trustmark Dealer,Petrol,Manual,18.6,1197,81.83,5,608922.25
Maruti,9,120000,Individual,LPG,Manual,26.2,998,58.2,5,266986.72
Renault,3,8627,Dealer,Petrol,Manual,21.74,999,67.0,5,445927.78
Hyundai,6,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,564309.8
Tata,4,35000,Individual,Petrol,Manual,20.3,1199,84.0,5,484387.22
BMW,3,23000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,4127304.0
Honda,4,30000,Dealer,Petrol,Manual,17.8,1497,117.3,5,837968.3
Ford,3,36000,Dealer,Diesel,Manual,23.0,1498,98.96,5,902350.1
Hyundai,7,35000,Individual,Petrol,Manual,18.9,1197,82.0,5,416587.28
Kia,2,6000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1270748.8
Volkswagen,2,4200,Dealer,Petrol,Manual,15.04,1598,103.2,5,889877.44
Toyota,10,60251,Dealer,Diesel,Manual,12.99,2494,100.6,7,583116.5
BMW,5,37000,Dealer,Diesel,Automatic,17.66,2993,261.49,4,5989064.0
Honda,14,20000,Individual,Petrol,Manual,13.5,1799,130.0,5,264385.28
Volkswagen,6,52000,Individual,Petrol,Manual,15.04,1598,103.2,5,545950.9
Hyundai,9,64000,Individual,Petrol,Manual,20.36,1197,78.9,5,258242.81
Mahindra,5,100000,Individual,Diesel,Manual,16.0,1997,140.0,7,1172175.5
Hyundai,6,58000,Dealer,Diesel,Manual,22.54,1396,88.73,5,554838.25
Maruti,7,58000,Dealer,Petrol,Manual,16.1,1197,85.0,5,415596.44
Maruti,4,60000,Individual,Petrol,Manual,23.1,998,67.04,5,362161.6
Toyota,9,121000,Dealer,Diesel,Manual,12.8,2494,102.0,8,790198.7
Audi,8,35000,Dealer,Diesel,Automatic,17.11,1968,174.33,5,1446724.8
Hyundai,8,70175,Dealer,Diesel,Manual,21.27,1396,88.76,5,415017.38
Maruti,4,19000,Individual,Petrol,Manual,23.1,998,67.04,5,406375.06
Ford,6,50000,Dealer,Diesel,Manual,22.7,1498,89.84,5,622853.2
Hyundai,3,62000,Dealer,Diesel,Manual,22.1,1396,88.7,5,920337.9
Hyundai,11,53000,Individual,Petrol,Manual,20.36,1197,78.9,5,239611.86
Honda,14,75075,Dealer,Petrol,Manual,17.7,1497,78.0,5,208918.72
