brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti,10,83000,Individual,Petrol,Manual,17.5,1298,85.8,5,220000
Maruti,6,50000,Individual,Petrol,Manual,22.74,796,47.3,5,220000
Hyundai,11,65000,Dealer,Petrol,Manual,17.92,1086,62.1,5,220000
Maruti,3,15978,Dealer,Petrol,Manual,23.1,998,67.04,5,465000
Hyundai,4,60369,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1350000
Mahindra,1,30000,Individual,Diesel,Manual,16.5,1493,70,7,790000
Renault,4,19000,Dealer,Petrol,Automatic,24.04,999,67,5,365000
Hyundai,5,10000,Individual,Petrol,Manual,15.29,1591,121.3,5,1000000
Hyundai,12,52473,Dealer,Petrol,Manual,20.36,1197,78.9,5,338000
Toyota,7,77000,Dealer,Diesel,Manual,12.55,2982,168.5,7,1500000
Maruti,5,37000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,550000
Maruti,8,158000,Individual,Diesel,Manual,22.9,1248,74,5,450000
Maruti,4,19000,Dealer,Diesel,Manual,24.52,1248,88.5,7,875000
Maruti,4,58832,Dealer,Diesel,Manual,25.2,1248,74,5,675000
Hyundai,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,690000
Honda,5,41200,Dealer,Petrol,Manual,18.6,1199,88.76,5,349000
Ford,2,17000,Dealer,Petrol,Manual,15.9,1496,120.69,5,915000
Mercedes-Benz,3,25000,Dealer,Diesel,Automatic,10,2148,170,5,4450000
Hyundai,2,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,495000
Maruti,2,8000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,650000
Maruti,6,74000,Dealer,Diesel,Manual,23.4,1248,74,5,550000
Renault,5,50000,Individual,Petrol,Manual,25.17,799,53.3,5,250000
Honda,8,29500,Dealer,Diesel,Manual,25.8,1498,98.6,5,450000
Maruti,9,80000,Individual,Petrol,Manual,19.1,1197,85.8,5,400000
Maruti,8,60000,Individual,Petrol,Manual,20.51,998,67.04,5,260000
Hyundai,5,28854,Dealer,Petrol,Manual,18.9,1197,82,5,535000
Hyundai,5,81984,Dealer,Diesel,Manual,23,1396,90,5,650000
Hyundai,12,8500,Dealer,Petrol,Automatic,19.2,1197,80,5,275000
